1300,114,1013
1059,104,1025
1241,159,1013
1298,135,1006
1251,148,1031
1058,122,1008
1181,160,1006
1282,131,1040
1278,150,1040
1265,131,1036
1130,131,1005
1294,103,1008
1024,141,1035
1007,140,1005
1332,140,1028
1141,127,1012
1052,116,1028
1267,149,1007
1155,104,1019
1176,114,1029
1333,128,1023
1079,121,1030
1158,142,1008
1301,119,1031
1013,152,1026
1047,100,1040
1210,138,1014
1174,149,1001
1330,135,1034
1286,106,1012
1067,140,1005
1244,104,1034
1242,160,1006
1316,103,1006
1284,107,1022
1020,131,1040
1135,121,1002
1145,136,1006
1326,110,1037
1244,118,1002
1138,103,1007
1330,141,1001
1016,154,1017
1202,117,1004
1131,106,1035
1178,153,1018
1033,160,1013
1106,118,1003
1185,127,1003
1063,159,1024
1236,127,1015
1163,112,1040
1032,124,1033
1246,121,1020
1074,142,1038
1235,119,1030
1210,147,1040
1100,123,1032
1105,143,1025
1197,133,1018
1097,104,1035
1137,120,1024
1033,137,1022
1082,113,1000
1042,151,1028
1028,150,1003
1014,108,1003
1065,129,1039
1074,151,1022
1194,107,1017
1200,143,1006
1320,100,1009
1198,133,1006
1064,115,1014
1244,152,1003
1053,133,1030
1156,121,1022
1088,111,1028
1181,110,1024
1314,161,1019
1111,100,1014
1232,152,1010
1180,113,1005
1161,125,1038
1095,133,1005
1230,151,1023
1130,145,1003
1077,140,1037
1267,164,1031
1148,147,1037
1102,139,1006
1297,101,1014
1076,123,1027
1228,160,1032
1301,150,1001
1170,110,1035
1269,108,1032
1057,163,1034
1181,152,1033
1009,131,1040
1218,130,1040
1283,103,1020
1068,111,1034
1184,129,1031
1218,111,1009
1104,151,1012
1201,127,1011
1030,118,1003
1325,146,1029
1248,103,1040
1101,156,1014
1199,137,1017
1045,136,1014
1161,120,1009
1298,115,1009
1133,134,1007
1129,106,1005
1053,123,1011
1025,152,1025
1203,118,1020
1051,120,1008
1125,119,1035
1077,132,1015
1297,150,1026
1013,101,1011
1077,145,1037
1330,153,1000
1298,114,1030
1244,126,1029
1082,151,1016
1092,132,1031
1047,130,1030
1028,111,1032
1279,132,1003
1274,161,1019
1288,145,1033
1236,121,1016
1271,124,1004
1325,149,1032
1194,134,1004
1291,142,1008
1130,156,1021
1042,135,1022
1305,164,1039
1148,123,1010
1136,156,1025
1216,144,1024
1192,131,1032
1328,131,1036
1147,126,1003
1238,138,1014
1166,109,1002
1019,119,1022
1108,122,1010
1139,145,1000
1070,107,1013
1048,115,1038
1072,158,1012
